original_sentence,new_sentence,entity,start_idx,end_idx
Look at that mountain which is covered with snow.,Look at that Puncak Jaya which is covered with snow.,Puncak Jaya,13.0,24.0
My parents met each other in the mountains.,My parents met each other in the mountains.,,,
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Mount Aconcasgua for three weeks.,Mount Aconcagua,34.0,50.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Mont Blaanc.,Mont Blanc,53.0,64.0
Let's climb that mountain to see it.,Let's climb that Kangchenjunga to see it.,Kangchenjunga,17.0,30.0
They went to a resort in the mountains last summer.,They went to a resort in the Mount Everest last summer.,Mount Everest,29.0,42.0
How high mountain that is!,How high Dhcaulagiri that is!,Dhaulagiri,9.0,20.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Everest.,Mount Everest,30.0,43.0
The river descends from the mountains to the bay below.,The river descends from the Makalu to the bay below.,Makalu,28.0,34.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Pico de Orizabav could be seen from afar, and it was a breathtaking sight.",Pico de Orizaba,4.0,20.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.",,,
This mountain scenery is very beautiful.,This mountain scenery is very beautiful.,,,
"At last, they reached the top of the mountain.","At last, they reached the top of the Lhotse.",Lhotse,37.0,43.0
I am thinking of going to the mountains.,I am thinking of going to the mountains.,,,
The view from the top of the mountain took my breath away.,The view from the top of the Makalu took my breath away.,Makalu,29.0,35.0
The mountain has a beautiful shape.,The Dhaulagiri has a beautiful shape.,Dhaulagiri,4.0,14.0
The top of the mountain is always covered with snow.,The top of the Kangchenjunga is always covered with snow.,Kangchenjunga,15.0,28.0
We are going to climb that mountain.,We are going to climb that mountain.,,,
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses Mount Vinson it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",Mount Vinson,30.0,42.0
The moon is coming up over the mountains.,The moon is coming up over the Cho Oyu.,Cho Oyu,31.0,38.0
We went to the mountains to ski.,We went to the Mount Elbrus to ski.,Mount Elbrus,15.0,27.0
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Denali.",Denali,75.0,81.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the Kangchenjunga.,Kangchenjunga,30.0,43.0
This room has fine view of the mountain.,This room has fine view of the mountain.,,,
The path twists through the mountains.,The path twists through the Mount uRainier.,Mount Rainier,28.0,42.0
There is only one pass over the mountain.,There is only one pass over the Mount Fuji.,Mount Fuji,32.0,42.0
The mountain is covered with snow.,The mountain is covered with snow.,,,
You need good equipment to climb that mountain.,You need good equipment to climb that Nanga Parbat.,Nanga Parbat,38.0,50.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Mount Vinson alone.,Mount Vinson,55.0,67.0
He's accustomed to climbing mountains.,He's accustomed to climbing Makalu.,Makalu,28.0,34.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Mount Vinson village looking for that old man.,Mount Vinson,29.0,41.0
That mountain is about three thousand meters high.,That Lhotse is about three thousand meters high.,Lhotse,5.0,11.0
I like mountains better than seas.,I like Mount Vinson better than seas.,Mount Vinson,7.0,19.0
The mountains are red against the blue sky.,The Mount Fuji are red against the blue sky.,Mount Fuji,4.0,14.0
How high is the mountain?,How high is the Manaslu?,Manaslu,16.0,23.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Puncak Jaya is a cinch.",Puncak Jaya,57.0,68.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest K2 in the world.,K2,27.0,29.0
The mountains are reflected in the lake.,The Makalu are reflected in the lake.,Makalu,4.0,10.0
We climbed up the stream in the mountain.,We climbed up the stream in the Puncak Jeaya.,Puncak Jaya,32.0,44.0
The mountain is not as high as Mt. Fuji.,The Mountb Elbrus is not as high as Mt. Fuji.,Mount Elbrus,4.0,17.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Mount Fuji.,Mount Fuji,38.0,48.0
I like the mountains more than I like the sea.,I like the mountains more than I like the sea.,,,
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Manaslu town where he was waiting.",Manaslu,41.0,48.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.",,,
How high is that mountain?,How high is that Puncajk Jaya?,Puncak Jaya,17.0,29.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Puncak Jaya and to the sea.,Puncak Jaya,28.0,39.0
There are many monkeys on the mountain.,There are many monkeys on the Motunt Everest.,Mount Everest,30.0,44.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Manaslu it is not until the end of April that the snow disappears completely from the ground.,Manaslu,7.0,14.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the mountain easily.,,,
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these Mont Blanc are quite diverse.,Mont Blanc,38.0,48.0
It is dangerous to climb that mountain.,It is dangerous to climb that Mount Everesth.,Mount Everest,30.0,44.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the Dhaulagisri.,Dhaulagiri,46.0,57.0
We saw a mountain in the distance.,We saw a Puncak Jayah in the distance.,Puncak Jaya,9.0,21.0
The lake is surrounded by mountains.,The lake is surrounded by Matteqrhorn.,Matterhorn,26.0,37.0
We have snow on the mountain all the year round.,We have snow on the Krangchenjunga all the year round.,Kangchenjunga,20.0,34.0
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Mount Actoncagua with apple trees growing inside it.,Mount Aconcagua,63.0,79.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is Mont Blaqnc.,Mont Blanc,33.0,44.0
The mountain is 2000 meters above sea level.,The Mount Everest is 2000 meters above sea level.,Mount Everest,4.0,17.0
The mountain peak was covered with snow.,The Lhotse peak was covered with snow.,Lhotse,4.0,10.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount Fuji of Afghanistan, to risk their lives for us.",Mount Fuji,106.0,116.0
We stood on the top of the mountain.,We stood on the top of the Denavli.,Denali,27.0,34.0
Carlos climbed the mountain.,Carlos climbed the Annapurna.,Annapurna,19.0,28.0
The mountain is standing out in sharp relief against the blue sky.,The Matterhorn is standing out in sharp relief against the blue sky.,Matterhorn,4.0,14.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Dhaulagiri, being self-sufficient and without contact with anybody while not dying like a dog.",Dhaulagiri,75.0,85.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Annapurna is striking.,Annapurna,37.0,46.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Mont Blanc.",Mont Blanc,51.0,61.0
This river rises in the mountains in Nagano.,This river rises in the Mount Elbrus in Nagano.,Mount Elbrus,24.0,36.0
What's the name of the mountain range?,What's the name of the mountain range?,,,
The mountains are a lush green in summer.,The Mount Aconcagua are a lush green in summer.,Mount Aconcagua,4.0,19.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal mountains in the north.,,,
We are going to the mountains.,We are going to the Makalu.,Makalu,20.0,26.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other K2 in the world.,K2,37.0,39.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Annapurna.,Annapurna,45.0,54.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Makalu of homework.,Makalu,38.0,44.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Mount Kilimanjaro and located on the prefecture border with Niigata.,Mount Kilimanjaro,55.0,72.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Mount Vinsonx than Everest.,Mount Vinson,51.0,64.0
The action took place in a mountain village.,The action took place in a Mont Blanc village.,Mont Blanc,27.0,37.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the K2.,K2,44.0,46.0
My town is surrounded by tall mountains.,My town is surrounded by tall Mount Elbrus.,Mount Elbrus,30.0,42.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Lphotse in winter.,Lhotse,35.0,42.0
I was in the mountains.,I was in the Puncak Jaya.,Puncak Jaya,13.0,24.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Miont Blanc, but with difficulty.",Mont Blanc,18.0,29.0
